product_name,review_text,rating,tags,flan-t5-xl-JDG-T-101-qlora,mistral-7b-instruct-v0.2-JDG-210,gpt-3.5-turbo-0125:personal:review-tags-jdg001,llama-2-7b-chat-JDG-211-checkpoint-650,Flan-t5-xl Disagrees,Mistral Disagrees,GPT3.5 Disagrees,Llama Disagrees,3 Judges Agree,Unanimous,At least 3 judges,Validate 3 Judges,Validate Unanimous,No agreement – Human labelled,Set 1 – 3 Judges + Human Labels,Set 2 – Unanimous + Human Labels,Set 3 – Combined Human Labelled,validation,design,value,performance,quality,none,non-review
Tea Infuser,"wrong size. This is a good product, but somehow the description states that the size is 3.8x3.8x3.8 inches.<br />In fact it is 2x2x3 inches, which is way too small, and is very disappointing.",1,,"[""quality""]","[""none""]","[""quality""]","[""design""]",,,,,,,,,,,,,,0,0,0,0,0,0,0
Soft Tissues,Wrong item. I usually order the Vicks puff tissue but I orders the wron one by accident,4,,"[""none""]","[""non-review""]","[""none""]","[""none""]",,"[""none""]",,,"[""none""]",,"[""none""]","[""non-review""]",,,"[""non-review""]","[""non-review""]","[""non-review""]",0,0,0,0,0,1,0
Earplugs,"Wow. I'm really surprised these work. I wear them when I go out with friends and have found it much easier to hear them over the music, besides the music being much more tolerable. My ears aren't ringing when I leave and take them out, so my migraines aren't triggered as easily. Very happy with this purchase, I just wish they were a tiny bit more effective with the music.",4,,"[""performance""]","[""performance""]","[""performance""]","[""performance""]",,,,,,"[""performance""]","[""performance""]",,"[""performance""]",,"[""performance""]","[""performance""]","[""performance""]",0,0,0,1,0,0,0
Back Cushion,"wow, best cushion i've ever had. worth the money!  Get it!  so much more comfortable than cotton/fleece/memory foam cushions!  wow!",5,,"[""performance"",""value""]","[""value""]","[""design"",""value""]","[""performance""]",,,,,,,,,,,,,,0,0,0,0,0,0,0
Hair Diffuser Attachment,Wouldn’t recommend.. Not my favorite. This product has a big cult following within the curly hair community on Instagram and Facebook so I was quick to purchase and try it out but the lack of bowl on it made it a flop for me. It can’t cup the hair so it just flies around. Worked well on the end of my oddly shaped Fredrick fekkai dryer though.,2,,"[""design"",""performance""]","[""design""]","[""performance""]","[""design"",""performance""]",,,,,,,,,,,,,,0,0,0,0,0,0,0
Hair Diffuser Attachment,"Wouldn’t recommend.. Does NOT fit a normal hair dryer. Tried to stretch it over my hair dryer and it tore, and it’s too big for a mini hair dryer. Wouldn’t recommend.",1,,"[""quality""]","[""design""]","[""quality""]","[""design"",""performance""]",,,,,,,,,,,,,,0,0,0,0,0,0,0
Cotton Rounds,Wouldn’t recommend. Disappointed. I used them while taking off my make up and parts was left on my face. I wouldn’t buy again.,2,,"[""quality""]","[""performance""]","[""performance""]","[""quality""]",,,,,,,,,,,,,,0,0,0,0,0,0,0
Hair curler,wouldn't work on my hair... guess it .... wouldn't work on my hair... guess it was too short. i have should length hair.. I ended up giving it to my daughter who has really long hair.  I haven't heard what she thinks of it.,2,,"[""performance""]","[""non-review""]","[""performance""]","[""design""]",,,,,,,,,,,,,,0,0,0,0,0,0,0
Dishwasher Magnet,Wouldn't stay. I had to send back.  It wouldn't stick on my dishwasher.,1,,"[""performance""]","[""product""]","[""quality""]","[""performance""]",,,,,,,,,,,,,,0,0,0,0,0,0,0
Amazon Echo Show,Wouldn't buy again. Slow and generally unimpressive. Has more glitches than Gary's mod. Disconnects ALL THE TIME. My echo dot works better. Touch screen has a delay and it seems like this little thing has to think extra hard to do anything.,2,,"[""performance""]","[""performance""]","[""performance""]","[""performance"",""quality""]",,,,"[""performance""]","[""performance""]",,"[""performance""]","[""performance""]",,,"[""performance""]","[""performance""]","[""performance""]",0,0,0,1,0,0,0
Foot Scrubber / Massager,wouldn't buy again. doesn't clean your feet with ease like advertised.,2,,"[""performance""]","[""performance""]","[""performance""]","[""performance""]",,,,,,"[""performance""]","[""performance""]",,"[""performance""]",,"[""performance""]","[""performance""]","[""performance""]",0,0,0,1,0,0,0
Soap Sheets,"Wouldn't buy again - so disappointing.. Great idea but I couldn't get them to dissolve in the water in Europe where I needed them for washing out traveling clothes.  Threw them away.  Also, if your fingers are damp when you're trying to get one out of the packages, it damages all of the rest of them!",1,,"[""performance"",""quality""]","[""performance""]","[""performance""]","[""design"",""performance""]",,,,,,,,,,,,,,0,0,0,0,0,0,0
Amazon Fire Tablet,Would recommend. Excellent,5,,"[""none""]","[""none""]","[""none""]","[""none""]",,,,,,"[""none""]","[""none""]",,"[""none""]",,"[""none""]","[""none""]","[""none""]",0,0,0,0,0,1,0
Foot Scrubber / Massager,Would recommend. Decent product. It gets the job done as far as cleaning and has a pumice stone. I like it.,5,,"[""performance""]","[""performance""]","[""performance""]","[""performance""]",,,,,,"[""performance""]","[""performance""]",,"[""performance""]",,"[""performance""]","[""performance""]","[""performance""]",0,0,0,1,0,0,0
Water Filter,WOULD NOT FIT. WOULD NOT FIT,2,,"[""non-review""]","[""non-review""]","[""none""]","[""none""]",,,,,,,,,,,,,,0,0,0,0,0,0,0
Hair Diffuser Attachment,"Would not fit. Very disappointed, would not fit on my hairdryer.",1,,"[""quality""]","[""product-design""]","[""design""]","[""design""]",,,,,,,,,,,,,,0,0,0,0,0,0,0
Bath Towel / Wrap,"Would not buy again.. The way this towel closes up, with the Velcro, is uncomfortable against one's skin. And its a towel so skin is expected. Also the Velcro makes it hard to wash. A disappointment.",1,,"[""design"",""quality""]","[""design"",""performance""]","[""design""]","[""design"",""quality""]",,,,,,,,,,,,,,0,0,0,0,0,0,0
Hair curler,Would not buy again. unless you have someone to help do your hair and your hair has zero layers - good luck!  I gave mine to my DIL who even had difficulty with it.  Would not buy again,3,,"[""design"",""performance""]","[""design""]","[""performance""]","[""design"",""quality""]",,,,,,,,,,,,,,0,0,0,0,0,0,0
Amazon Fire TV Stick,"Would absolutely buy again for another tv. Love love love. Used to have Google Chromecast, this is 100x better quality and easier to use.",5,,"[""design"",""performance""]","[""performance""]","[""performance"",""quality""]","[""performance""]",,,,,,,,,,,,,,0,0,0,0,0,0,0
Coffee Filter,Worth the price. I guess.. The seal on the filter breaks sometimes,2,,"[""quality"",""value""]","[""quality""]","[""quality"",""value""]","[""quality""]",,,,,,,,,,,,,,0,0,0,0,0,0,0
Earbuds,Worth the price. Can’t complain about these. Well worth the price. Better than average sound.,5,,"[""value""]","[""value""]","[""value""]","[""performance""]",,,,"[""value""]","[""value""]",,"[""value""]","[""value"",""performance""]",,,"[""value"",""performance""]","[""value"",""performance""]","[""value"",""performance""]",0,0,1,0,0,0,0
Echo Dot,Worth the extra money. The sound quality is so much better than the other Echo dots even the Echo Show I have. The speakers are a lot nicer. I got it when it was a special that the colored light bulb came with it. My daughter loves the light bulb. She loves how it changes colors and the whole room changes that color. It is nice how Alexa will turn the light one when asked.,5,,"[""performance"",""quality"",""value""]","[""design"",""performance"",""value""]","[""performance"",""design"",""value""]","[""design"",""performance""]",,,,,,,,,,,,,,0,0,0,0,0,0,0
Hair Diffuser Attachment,Worth it. Pretty great very snug fit on the blow dryer. It does work,4,,"[""design"",""performance"",""value""]","[""design"",""performance""]","[""design"",""performance""]","[""performance""]",,,,,,,,,,,,,,0,0,0,0,0,0,0
Amazon Fire TV Stick,Worth it!. Excellent purchase...very happy!,5,,"[""value""]","[""none""]","[""value""]","[""value""]",,"[""value""]",,,"[""value""]",,"[""value""]","[""value""]",,,"[""value""]","[""value""]","[""value""]",0,0,1,0,0,0,0
Amazon Fire Tablet,Worth every penny. Excellent tablet. I get everything I want with no trouble.,5,,"[""value""]","[""value""]","[""value""]","[""value""]",,,,,,"[""value""]","[""value""]",,"[""value""]",,"[""value""]","[""value""]","[""value""]",0,0,1,0,0,0,0
Amazon Fire Tablet,"Worst picture and color. Perhaps I got a dud but the screen was a cream color when it was supposed to be white and it was so strong that i ended up with a migraine just looking at it start up. I can't imagine reading on it which is why I bought it. And yes, I know you can adjust the brightness and go to dark mode. Not worth it.",1,,"[""quality""]","[""quality""]","[""design"",""quality""]","[""design"",""quality""]",,,,,,,,,,,,,,0,0,0,0,0,0,0
False Eyelashes,Worst lashes I ever bought. Can't believe I bought these. They are awful. Just awful crayon crap from China. They are cloth and don't bend to your eye shape.,1,,"[""quality""]","[""design"",""quality""]","[""quality""]","[""design"",""quality""]",,,,,,,,,,,,,,0,0,0,0,0,0,0
Kindle Paperwhite e-reader.,worse port in planet. Impossible to get charger into port -- it is too tight. Worse engineering imaginable. Device is absolutely no good to me since I cannot charge.,2,,"[""design"",""quality""]","[""quality""]","[""quality""]","[""quality""]","[""quality""]",,,,"[""quality""]",,"[""quality""]","[""quality""]",,,"[""quality""]","[""quality""]","[""quality""]",0,0,0,0,1,0,0
Listerine pump for mouthwash,works. works perfect!,5,,"[""performance""]","[""performance""]","[""performance""]","[""performance""]",,,,,,"[""performance""]","[""performance""]",,"[""performance""]",,"[""performance""]","[""performance""]","[""performance""]",0,0,0,1,0,0,0
Water Filter,Works. Works as described.  Bit expensive for the time it lasts and you would think for this kind of money it'll be cleaned.  Nope.  Have to waste a whole tray (and a day) of making black/gray ice before ice can be used.,3,,"[""performance"",""value""]","[""performance"",""value""]","[""performance"",""value""]","[""performance"",""value""]",,,,,,"[""performance"",""value""]","[""performance"",""value""]",,"[""performance"",""value""]",,"[""performance"",""value""]","[""performance"",""value""]","[""performance"",""value""]",0,0,1,1,0,0,0
Anti-slip wax for glasses,Works. Okay product,3,,"[""performance""]","[""performance""]","[""performance""]","[""performance""]",,,,,,"[""performance""]","[""performance""]",,"[""performance""]",,"[""performance""]","[""performance""]","[""performance""]",0,0,0,1,0,0,0
Dishwasher Magnet,works. needs a better magnet almost to big.,4,,"[""performance""]","[""performance""]","[""design""]","[""performance""]",,,"[""performance""]",,"[""performance""]",,"[""performance""]","[""performance""]",,,"[""performance""]","[""performance""]","[""performance""]",0,0,0,1,0,0,0
Coffee Maker Cups,Works. Lids don't click closed,3,,"[""quality""]","[""quality""]","[""performance"",""quality""]","[""design""]",,,,,,,,,,,,,,0,0,0,0,0,0,0
Glycerin,works. I got this to help with a edible tincture and it works very well.  I must say that a small portion goes a long way.,4,,"[""performance""]","[""performance""]","[""performance""]","[""performance""]",,,,,,"[""performance""]","[""performance""]",,"[""performance""]",,"[""performance""]","[""performance""]","[""performance""]",0,0,0,1,0,0,0
UV-C Sanitizer and Deodorizer,Works!!. My husband has pollen sensitivity.  We put this on his side of the bed and he can definitely tell the difference in the air quality.,5,,"[""performance""]","[""performance""]","[""performance""]","[""performance""]",,,,,,"[""performance""]","[""performance""]",,"[""performance""]",,"[""performance""]","[""performance""]","[""performance""]",0,0,0,1,0,0,0
Water Filter,"Works, but overpriced like all filters.. Overpriced, as all fridge filters are but it works as it should.",3,,"[""value""]","[""value""]","[""value""]","[""performance"",""value""]",,,,"[""value""]","[""value""]",,"[""value""]","[""value""]",,,"[""value""]","[""value""]","[""value""]",0,0,1,0,0,0,0
Listerine pump for mouthwash,"Works, but not practical.. Pump works, but it squirts liquids on the upswing not just on its way down. The unexpected squirt is quite powerful and splashes the liquid already in the cup on my hands. It needs to deliver a smooth delivery on the way down only.",3,,"[""performance""]","[""performance""]","[""performance""]","[""performance""]",,,,,,"[""performance""]","[""performance""]",,"[""performance""]",,"[""performance""]","[""performance""]","[""performance""]",0,0,0,1,0,0,0
Kitchen Tools,"Works, but expensive. It works, but expensive for these two pieces of silicone or plastic … or, whatever material in which they are made.",3,,"[""value""]","[""value""]","[""value""]","[""value""]",,,,,,"[""value""]","[""value""]",,"[""value""]",,"[""value""]","[""value""]","[""value""]",0,0,1,0,0,0,0
Tea Infuser,"Works, but discolors badly after a few uses, not worth the premium price. Had high hopes for this - paid a significant premium but it's simply not worth it. There's still a lot of plastic in it, and after a few uses and rapid, thoughtful cleaning it still discolors rapidly after only a few uses and is ultimately no better than alternatives less than half the price",3,,"[""quality"",""value""]","[""quality"",""value""]","[""quality"",""value""]","[""quality""]",,,,"[""quality"",""value""]","[""quality"",""value""]",,"[""quality"",""value""]","[""quality"",""value""]",,,"[""quality"",""value""]","[""quality"",""value""]","[""quality"",""value""]",0,0,1,0,1,0,0
Coffee Maker,Works well. I bought this AeroPress for travel. I like the taste that it produces ok... I still prefer either espresso or pour over. This produces a hybrid of the two. It does a good job on the go.,5,,"[""performance""]","[""performance""]","[""performance""]","[""performance""]",,,,,,"[""performance""]","[""performance""]",,"[""performance""]",,"[""performance""]","[""performance""]","[""performance""]",0,0,0,1,0,0,0
Coffee Filter,Works well.  Easy to clean.  Coffee just isn't strong enough for me though.. Works well.  Easy to clean.  Coffee just isn't strong enough for me though.,4,,"[""design"",""performance""]","[""performance""]","[""performance""]","[""performance""]","[""performance""]",,,,"[""performance""]",,"[""performance""]","[""performance""]",,,"[""performance""]","[""performance""]","[""performance""]",0,0,0,1,0,0,0
Amazon Smart Plug,Works well.  But nite it does not support power use monitoring.. Great when on sale.  Wish it had power monitoring capability,3,,"[""performance"",""value""]","[""performance"",""value""]","[""performance"",""value""]","[""performance""]",,,,"[""performance"",""value""]","[""performance"",""value""]",,"[""performance"",""value""]","[""performance"",""value""]",,,"[""performance"",""value""]","[""performance"",""value""]","[""performance"",""value""]",0,0,1,1,0,0,0
Hair Spray Bottle,"Works well for plants. I purchased this for my Son to use on bonsai's. He says it's nice, but not quite what he expected. He thought it would be continuous spray with holding pump down. Otherwise he is happy with it.",4,,"[""performance""]","[""performance""]","[""performance""]","[""design""]",,,,"[""performance""]","[""performance""]",,"[""performance""]","[""performance""]",,,"[""performance""]","[""performance""]","[""performance""]",0,0,0,1,0,0,0
Amazon Fire TV Stick,Works well for most things but I am hugely disappointed that the Youtube application is no longer available. Works well for most things but I am hugely disappointed that the Youtube application is no longer available... after I bought THREE of these!,3,,"[""performance""]","[""performance""]","[""performance""]","[""performance""]",,,,,,"[""performance""]","[""performance""]",,"[""performance""]",,"[""performance""]","[""performance""]","[""performance""]",0,0,0,1,0,0,0
Stain Remover,"Works well but smells like chemicals. Works well, but it smells like strong chemicals, which makes me a little nervous.",4,,"[""performance"",""quality""]","[""performance""]","[""performance""]","[""performance""]","[""performance""]",,,,"[""performance""]",,"[""performance""]","[""performance""]",,,"[""performance""]","[""performance""]","[""performance""]",0,0,0,1,0,0,0
Dishwasher Magnet,"Works well but just watch your dishwasher's surface. I have a stainless steel dishwasher, and the magnet was discoloring it a bit. But I just moved it to the fridge. It's great--I use it and look at it every week.",4,,"[""performance""]","[""performance""]","[""performance""]","[""performance""]",,,,,,"[""performance""]","[""performance""]",,"[""performance""]",,"[""performance""]","[""performance""]","[""performance""]",0,0,0,1,0,0,0
Bath Towel / Wrap,"Works well at a low cost point. For the price point, it's better than I expected.  Fits great, sturdy enough for the price I paid, and doesn't feel ""cheap"" to me.  I'm happy and would not hesitate to buy this for others.",5,,"[""performance"",""value""]","[""performance"",""value""]","[""value""]","[""quality"",""value""]",,,,,,,,,,,,,,0,0,0,0,0,0,0
Water Filter,Works well (I think) but super expensive. Works well enough (I think - hard to prove). Easy to install. Can't figure out 1/ why it's so expensive and 2/ why the price varies so much from month to month ($50-$100 each).,4,,"[""design"",""performance"",""value""]","[""performance"",""value""]","[""performance"",""value""]","[""design"",""performance"",""value""]",,,,,,,,,,,,,,0,0,0,0,0,0,0
Coffee Filter,"works very well. I bought these to stop the sludge that was appearing in each cup, that work.  It does take a few cups to get used to inserting the filter....and the grounds can flow over the top but for the most part this does what I expected.",4,,"[""performance""]","[""performance""]","[""performance""]","[""performance""]",,,,,,"[""performance""]","[""performance""]",,,,"[""performance""]","[""performance""]",,0,0,0,1,0,0,0
Coffee Maker Cups,"Works pretty well and definitely does the job.. Works pretty well. The coffee tastes fine, it is a little messier to use than pre-packaged K-cups. But it definitely does the job.",4,,"[""performance""]","[""performance""]","[""performance""]","[""performance""]",,,,,,"[""performance""]","[""performance""]",,,,"[""performance""]","[""performance""]",,0,0,0,1,0,0,0
Makeup Brush Holder ,Works perfectly. I love this brush holder. It works exactly how it is supposed too. Also I love how it breaks down for easy storage.,5,,"[""design"",""performance""]","[""performance""]","[""design"",""performance""]","[""performance""]",,,,,,,,,,,,,,0,0,0,0,0,0,0
Amazon Smart Plug,Works perfectly!. I use it on a Living room floor lamp that is behind a large recliner. No more do I stretch dangerously to reach the lamp on/off switch.,4,,"[""performance""]","[""performance""]","[""performance""]","[""performance""]",,,,,,"[""performance""]","[""performance""]",,,,"[""performance""]","[""performance""]",,0,0,0,1,0,0,0
Stain Remover,"Works on new stains, but not old ones. It has worked fairly well on some stains, but for stains that have been sitting there for a bit already this does not work well and I had to use OxiClean.",3,,"[""performance""]","[""performance""]","[""performance""]","[""performance""]",,,,,,"[""performance""]","[""performance""]",,,,"[""performance""]","[""performance""]",,0,0,0,1,0,0,0
Stain Remover,Works on most / new stains. I already use this brand’s odor eliminator and detergent which i love so I decided to try the stain remover. First time using it. Top row of collage pics are before and bottom row is after. Worked well on some old stains but didn’t work on others. Didn’t get a before pic of the pink & white romper but it worked on an old stain that was on there.,4,,"[""performance""]","[""performance""]","[""performance""]","[""performance""]",,,,,,"[""performance""]","[""performance""]",,,,"[""performance""]","[""performance""]",,0,0,0,1,0,0,0
Makeup Brush Holder ,"Works Okay. This works okay, but one part cracked rather quickly. The legs also come apart if it is lightly bumped.",4,,"[""quality""]","[""quality""]","[""quality""]","[""performance""]",,,,"[""quality""]","[""quality""]",,"[""quality""]","[""quality""]",,,"[""quality""]","[""quality""]","[""quality""]",0,0,0,0,1,0,0
Coffee Scoop,Works ok. So far it seems to work ok,3,,"[""performance""]","[""performance""]","[""performance""]","[""performance""]",,,,,,"[""performance""]","[""performance""]",,,,"[""performance""]","[""performance""]",,0,0,0,1,0,0,0
Amazon Smart Plug,Works ok. Not a cheap smart plug but it works great with Alexa. It’s easy to setup,2,,"[""design"",""performance"",""value""]","[""performance""]","[""performance"",""value""]","[""design"",""performance""]",,,,,,,,,,,,,,0,0,0,0,0,0,0
UV-C Sanitizer and Deodorizer,Works ok!. I used this when I had walking pneumonia. I was still sick for 2 months while using this. Maybe it works better as a preventative instead of after you are sick.,3,,"[""performance""]","[""performance""]","[""performance""]","[""performance""]",,,,,,"[""performance""]","[""performance""]",,,,"[""performance""]","[""performance""]",,0,0,0,1,0,0,0
Coffee Filter,Works OK but some of this type of unit do not work well in Keurig 2.0 machines. These types of units often are erratic in Kuerig b2.0 machines. I use it occasionally and am mostly satisfied.,4,,"[""performance""]","[""performance""]","[""performance""]","[""performance""]",,,,,,"[""performance""]","[""performance""]",,,,"[""performance""]","[""performance""]",,0,0,0,1,0,0,0
Shampoo,Works like shampoo. Smells nice.. Great smelling shampoo. Does it work? How can I answer that question? I am honestly not sure but I would buy it again once I run out.,5,,"[""quality""]","[""performance""]","[""value""]","[""performance""]",,,,,,,,,,,,,,0,0,0,0,0,0,0
Makeup Brush Holder ,Works like a charm.. This makeup brush holder comes packed flat. It is easy to assemble and use. I like that I can disassemble it for storage when not in use. It also cleans very easily.,5,,"[""design"",""performance""]","[""design"",""performance""]","[""design"",""performance""]","[""design"",""performance""]",,,,,,"[""design"",""performance""]","[""design"",""performance""]",,,,"[""design"",""performance""]","[""design"",""performance""]",,0,1,0,1,0,0,0
Tea Infuser,"works just as expected. I have purchased this exact same tea strainer years ago and left it in a different city.  Works well, and it fits most cups and mugs.",5,,"[""performance""]","[""performance""]","[""performance""]","[""performance""]",,,,,,"[""performance""]","[""performance""]",,,,"[""performance""]","[""performance""]",,0,0,0,1,0,0,0
Micro SD Memory Card,"Works in Sansa Clip+ running Rockbox. Presently using this with my Sansa Clip+ running Rockbox, been using it for a couple weeks without incident, so it is supported. Great if you want to run FLAC or audiobooks or both, haven't had the slightest issue.<br /><br />Also, still incredible they can fit that much space on such a tiny chip.",4,,"[""performance""]","[""performance""]","[""design"",""performance""]","[""performance""]",,,"[""performance""]",,"[""performance""]",,"[""performance""]","[""performance""]",,,"[""performance""]","[""performance""]","[""performance""]",0,0,0,1,0,0,0
Hair curler,Works greattttt. Beautiful curls super cheap and gets HOT fastttt love it,5,,"[""performance"",""value""]","[""performance"",""value""]","[""performance"",""value""]","[""performance"",""value""]",,,,,,"[""performance"",""value""]","[""performance"",""value""]",,,,"[""performance"",""value""]","[""performance"",""value""]",,0,0,1,1,0,0,0
UV-C Sanitizer and Deodorizer,Works great.. Bought this for the bathroom that houses the cat litter box. Works awesome and we don’t even notice the smell of the litter box.,5,,"[""performance""]","[""performance""]","[""performance""]","[""performance""]",,,,,,"[""performance""]","[""performance""]",,,,"[""performance""]","[""performance""]",,0,0,0,1,0,0,0
