ID,Prompt_Text,Rating,Rating,Label - gpt3.5_turbo0125,Rating,Label - gpt3.5_turbo0125 - improved,Label - Flan-t5-small-FT215,GPT3.5 vs Flan-t5-small,,Label - gpt-4-0125-preview,Label - gpt-4-0125-preview - improved,GPT3.5 vs GPT4,GPT4 vs Flan-t5-small,gpt3.5 vs GPT4 vs Flan-t5-small,GPT4+1 LABEL,Unanimous Label,Hunam Label,GPT4 WIN,GPT3.5 WIN,flan-t5-small WIN,Test Set 1 Labels,Test Set 2 Labels,GPT3.5 improved = GPT4 improved,Unanimous Label - IMPROVED,GPT4 improved vs hunam,GPT 3.5  improved vs hunam,gpt3.5 improved vs flan,gpt4 improved vs flan,Staging-test set 3,Test Set 3 Labels,Staging-test set 4,Test Set 4 Labels
25,"Here is a product review from a customer, which is delimited with triple backticks.

Review text: 
```
Am happy with my purchase and the item is being used by my brother's son and he is also happy as on dat
```
Overall sentiment must be one of the following options:
- Positive
- Slightly Positive
- Negative
- Slightly Negative

What is the overall sentiment of that product review?

Answer:",4,4,Positive,4,Slightly Positive,Slightly Positive,NO MATCH,4,Positive,Positive,OK,NO MATCH,NO MATCH,Positive,,,,,,Positive,REMOVE,,,,,OK,NO MATCH,,REMOVE,,REMOVE
26,"Here is a product review from a customer, which is delimited with triple backticks.

Review text: 
```
amazing sound for the price
```
Overall sentiment must be one of the following options:
- Positive
- Slightly Positive
- Negative
- Slightly Negative

What is the overall sentiment of that product review?

Answer:",5,5,Positive,5,Positive,Slightly Positive,NO MATCH,5,Positive,Positive,OK,NO MATCH,NO MATCH,Positive,,,,,,Positive,REMOVE,Positive,,,,NO MATCH,NO MATCH,Positive,Positive,,REMOVE
27,"Here is a product review from a customer, which is delimited with triple backticks.

Review text: 
```
amazing tablet for kids and also adults can switch out between kid accounts and also adult account
```
Overall sentiment must be one of the following options:
- Positive
- Slightly Positive
- Negative
- Slightly Negative

What is the overall sentiment of that product review?

Answer:",4,4,Positive,4,Positive,Slightly Positive,NO MATCH,4,Positive,Positive,OK,NO MATCH,NO MATCH,Positive,,,,,,Positive,REMOVE,Positive,,,,NO MATCH,NO MATCH,Positive,Positive,,REMOVE
28,"Here is a product review from a customer, which is delimited with triple backticks.

Review text: 
```
Amazon brand batteries are very poor quality. Don't last more than 3 months in a remote control (which barely uses any power). This is shameful and stupid as it diminishes confidence in the Amazon brand name.
```
Overall sentiment must be one of the following options:
- Positive
- Slightly Positive
- Negative
- Slightly Negative

What is the overall sentiment of that product review?

Answer:",1,1,Negative,1,Negative,Negative,OK,1,Negative,Negative,OK,OK,OK,Negative,Negative,,,,,Negative,Negative,Negative,Negative,,,OK,OK,Negative,Negative,Negative,Negative
29,"Here is a product review from a customer, which is delimited with triple backticks.

Review text: 
```
Amazon fire is a good tablet if you like e-books. It's also nice to get a six-month subscription to the Washington Post. Their claim to have 16 gigabytes of storage is misleading because it only gives you 5 and then they want to charge you the same amount of money that you paid for the tablet for unlimited storage. Another problem is that you can't flag something as being inappropriate like you can on Samsung Galaxy tablets.
```
Overall sentiment must be one of the following options:
- Positive
- Slightly Positive
- Negative
- Slightly Negative

What is the overall sentiment of that product review?

Answer:",2,2,Slightly Negative,2,Slightly Negative,Slightly Negative,OK,2,Slightly Negative,Slightly Negative,OK,OK,OK,Slightly Negative,Slightly Negative,,,,,Slightly Negative,Slightly Negative,Slightly Negative,Slightly Negative,,,OK,OK,Slightly Negative,Slightly Negative,Slightly Negative,Slightly Negative
30,"Here is a product review from a customer, which is delimited with triple backticks.

Review text: 
```
Amazon's batteries are great. I've had no problems with them leaking or corroding. They last as long as any other AA battery I've used too.The AmazonBasics brand has been great for so many different things, and I definitely recommend these batteries.
```
Overall sentiment must be one of the following options:
- Positive
- Slightly Positive
- Negative
- Slightly Negative

What is the overall sentiment of that product review?

Answer:",5,5,Positive,5,Positive,Slightly Positive,NO MATCH,5,Positive,Positive,OK,NO MATCH,NO MATCH,Positive,,,,,,Positive,REMOVE,Positive,,,,NO MATCH,NO MATCH,Positive,Positive,,REMOVE
31,"Here is a product review from a customer, which is delimited with triple backticks.

Review text: 
```
AmazonBasics AA Alkaline batteries, are generic alkaline batteries as good as Duracel Rayovac.
```
Overall sentiment must be one of the following options:
- Positive
- Slightly Positive
- Negative
- Slightly Negative

What is the overall sentiment of that product review?

Answer:",5,5,Neutral,5,Slightly Negative,Slightly Positive,NO MATCH,5,Positive,Slightly Positive,NO MATCH,NO MATCH,NO MATCH,XXX,,Slightly Positive,,,1,Slightly Positive,Slightly Positive,,,Slightly Positive,,NO MATCH,OK,Slightly Positive,Slightly Positive,Slightly Positive,Slightly Positive
32,"Here is a product review from a customer, which is delimited with triple backticks.

Review text: 
```
AN AMAZING PRICE FOR 48 VERY HIGH QUALITY BATTERIES. loved this pack. the batteries come in 4's in plastic inside a big box
```
Overall sentiment must be one of the following options:
- Positive
- Slightly Positive
- Negative
- Slightly Negative

What is the overall sentiment of that product review?

Answer:",5,5,Positive,5,Positive,Strongly Positive,NO MATCH,5,Positive,Positive,OK,NO MATCH,NO MATCH,Positive,,,,,,Positive,REMOVE,Positive,,,,NO MATCH,NO MATCH,Positive,Positive,,REMOVE
33,"Here is a product review from a customer, which is delimited with triple backticks.

Review text: 
```
Another great offer from Amazon that delivers perfarmance and price for your electronic agenda 1
```
Overall sentiment must be one of the following options:
- Positive
- Slightly Positive
- Negative
- Slightly Negative

What is the overall sentiment of that product review?

Answer:",5,5,Positive,5,Positive,Slightly Positive,NO MATCH,5,Positive,Positive,OK,NO MATCH,NO MATCH,Positive,,,,,,Positive,REMOVE,Positive,,,,NO MATCH,NO MATCH,Positive,Positive,,REMOVE
34,"Here is a product review from a customer, which is delimited with triple backticks.

Review text: 
```
Another great product from amazon. I also use their rechargeable AA batteries which last a lot longer than any Energizer or Duracell that I have ever used. When it comes to any common battery size (AA, AAA, C, D, etc.), I will only be using AmazonBasics. Give this product a try and you won't be disappointed. You can't beat the price and/or quality.
```
Overall sentiment must be one of the following options:
- Positive
- Slightly Positive
- Negative
- Slightly Negative

What is the overall sentiment of that product review?

Answer:",5,5,Positive,5,Positive,Slightly Positive,NO MATCH,5,Positive,Positive,OK,NO MATCH,NO MATCH,Positive,,,,,,Positive,REMOVE,Positive,,,,NO MATCH,NO MATCH,Positive,Positive,,REMOVE
35,"Here is a product review from a customer, which is delimited with triple backticks.

Review text: 
```
Any small screw dropped in my computer case seemed to end up inside the bottom mounted power supply. This filter will keep them out.
```
Overall sentiment must be one of the following options:
- Positive
- Slightly Positive
- Negative
- Slightly Negative

What is the overall sentiment of that product review?

Answer:",5,5,Positive,5,Slightly Positive,Slightly Negative,NO MATCH,5,Positive,Positive,OK,NO MATCH,NO MATCH,Positive,,,,,,Positive,REMOVE,,,,,NO MATCH,NO MATCH,,REMOVE,,REMOVE
36,"Here is a product review from a customer, which is delimited with triple backticks.

Review text: 
```
Approximately half of the batteries I've tried so far are dead. Low expectations for the remainder of the lot, and never buy these again.
```
Overall sentiment must be one of the following options:
- Positive
- Slightly Positive
- Negative
- Slightly Negative

What is the overall sentiment of that product review?

Answer:",1,1,Negative,1,Negative,Negative,OK,1,Negative,Negative,OK,OK,OK,Negative,Negative,,,,,Negative,Negative,Negative,Negative,,,OK,OK,Negative,Negative,Negative,Negative
37,"Here is a product review from a customer, which is delimited with triple backticks.

Review text: 
```
As abv, takes 3 + hours to fully charge. I hoped it would be much faster (maybe an hour), to the point that I had thought I got a lemon. People were kind enough to answer my question, and learned that I should not expect miracles, lol. Apart from that, good thing it comes with the cord, and is compact enough.
```
Overall sentiment must be one of the following options:
- Positive
- Slightly Positive
- Negative
- Slightly Negative

What is the overall sentiment of that product review?

Answer:",4,4,Slightly Negative,4,Slightly Positive,Slightly Negative,OK,4,Slightly Negative,Slightly Positive,OK,OK,OK,Slightly Negative,Slightly Negative,,,,,Slightly Negative,Slightly Negative,Slightly Positive,,,,NO MATCH,NO MATCH,Slightly Positive,Slightly Positive,,REMOVE
38,"Here is a product review from a customer, which is delimited with triple backticks.

Review text: 
```
As described.
```
Overall sentiment must be one of the following options:
- Positive
- Slightly Positive
- Negative
- Slightly Negative

What is the overall sentiment of that product review?

Answer:",5,5,Positive,5,Positive,Slightly Positive,NO MATCH,5,Positive,Positive,OK,NO MATCH,NO MATCH,Positive,,,,,,Positive,REMOVE,Positive,,,,NO MATCH,NO MATCH,Positive,Positive,,REMOVE
39,"Here is a product review from a customer, which is delimited with triple backticks.

Review text: 
```
As expected, Glyph products function as expected out of the box with the necessary connections included.
```
Overall sentiment must be one of the following options:
- Positive
- Slightly Positive
- Negative
- Slightly Negative

What is the overall sentiment of that product review?

Answer:",5,5,Positive,5,Positive,Slightly Positive,NO MATCH,5,Positive,Positive,OK,NO MATCH,NO MATCH,Positive,,,,,,Positive,REMOVE,Positive,,,,NO MATCH,NO MATCH,Positive,Positive,,REMOVE
40,"Here is a product review from a customer, which is delimited with triple backticks.

Review text: 
```
As long as you follow the directions EXACTLY, it’s easy to apply
```
Overall sentiment must be one of the following options:
- Positive
- Slightly Positive
- Negative
- Slightly Negative

What is the overall sentiment of that product review?

Answer:",5,5,Positive,5,Slightly Positive,Slightly Positive,NO MATCH,5,Slightly Positive,Slightly Positive,NO MATCH,OK,NO MATCH,Slightly Positive,,,,,,Slightly Positive,REMOVE,Slightly Positive,Slightly Positive,,,OK,OK,Slightly Positive,Slightly Positive,Slightly Positive,Slightly Positive
41,"Here is a product review from a customer, which is delimited with triple backticks.

Review text: 
```
As mentioned in another review, I purchased my son a netbook (to replace his broken Mac). Anyway, I was concerned with the size of his netbook to properly do school work. So, I bought a mouse and also got this Logitech compact keyboard. It is absolutely perfect for this use. A great compact size to work on his desktop. I use the netbook with a monitor, mouse, docking station and this keyboard and you would never know he wasn't working from a full size set up. He loves the number pad on the keyboard (something he missed on the netbook). I would definitely recommend this keyboard for anyone in the market for a new one. It's compact, but has everything you need. The 'action' is great, it's lightweight, I can't say enough good things about it!
```
Overall sentiment must be one of the following options:
- Positive
- Slightly Positive
- Negative
- Slightly Negative

What is the overall sentiment of that product review?

Answer:",5,5,Positive,5,Positive,Strongly Positive,NO MATCH,5,Positive,Positive,OK,NO MATCH,NO MATCH,Positive,,,,,,Positive,REMOVE,Positive,,,,NO MATCH,NO MATCH,Positive,Positive,,REMOVE
42,"Here is a product review from a customer, which is delimited with triple backticks.

Review text: 
```
Asian products are infamous for their low quality, failure, and or harmful nature. These batteries produced in Indonesia live up to that reality. Out of ten batteries I finally found four that had enough juice to power the piece of equipment I purchased them for. Had I know they were made in Asia I would never have purchased them to begin with.
```
Overall sentiment must be one of the following options:
- Positive
- Slightly Positive
- Negative
- Slightly Negative

What is the overall sentiment of that product review?

Answer:",1,1,Negative,1,Negative,Negative,OK,1,Negative,Negative,OK,OK,OK,Negative,Negative,,,,,Negative,Negative,Negative,Negative,,,OK,OK,Negative,Negative,Negative,Negative
43,"Here is a product review from a customer, which is delimited with triple backticks.

Review text: 
```
At college there aren’t enough plugs so this is great. My daughter love this electrical outlet she takes it to friends houses and to the library. She talked me into buying one. I love it too.
```
Overall sentiment must be one of the following options:
- Positive
- Slightly Positive
- Negative
- Slightly Negative

What is the overall sentiment of that product review?

Answer:",5,5,Positive,5,Positive,Slightly Positive,NO MATCH,5,Positive,Positive,OK,NO MATCH,NO MATCH,Positive,,,,,,Positive,REMOVE,Positive,,,,NO MATCH,NO MATCH,Positive,Positive,,REMOVE
44,"Here is a product review from a customer, which is delimited with triple backticks.

Review text: 
```
At first when I saw this, I wasn't sure what this. I looked at the reviews (which were mostly positive) and thought I would give it a try. My skepticism was quickly diminished after trying this for just a few days. I typically shower every morning and I have Vitamin C and Retinol that I apply to my face. So, when I got this I put it in the freezer and followed the instructions. So, instead of just applying the serums to my face, I started using this roller along with the serums. After less than a week I noticed much less puffiness around my eyes (and I am prone to that area to have bags and puffiness). I also noticed my skin looking noticeably better overall. I think applying this roller to my skin allows the pores to absorb the serums faster and deeper. I will continue to use this going forward. I am really impressed with the results!
```
Overall sentiment must be one of the following options:
- Positive
- Slightly Positive
- Negative
- Slightly Negative

What is the overall sentiment of that product review?

Answer:",5,5,Positive,5,Positive,Slightly Negative,NO MATCH,5,Positive,Positive,OK,NO MATCH,NO MATCH,Positive,,,,,,Positive,REMOVE,Positive,,,,NO MATCH,NO MATCH,Positive,Positive,,REMOVE
45,"Here is a product review from a customer, which is delimited with triple backticks.

Review text: 
```
At this price point it is very good. But having being used ipad the display doesnt look sharp. Amazon app store lacks content. Overall good for my 9 yr old.
```
Overall sentiment must be one of the following options:
- Positive
- Slightly Positive
- Negative
- Slightly Negative

What is the overall sentiment of that product review?

Answer:",3,3,Slightly Negative,3,Slightly Positive,Slightly Negative,OK,3,Slightly Positive,Slightly Positive,NO MATCH,NO MATCH,NO MATCH,XXX,,Slightly Positive,1,,,Slightly Positive,Slightly Positive,Slightly Positive,,Slightly Positive,Slightly Positive,NO MATCH,NO MATCH,Slightly Positive,Slightly Positive,Slightly Positive,Slightly Positive
46,"Here is a product review from a customer, which is delimited with triple backticks.

Review text: 
```
Average at best
```
Overall sentiment must be one of the following options:
- Positive
- Slightly Positive
- Negative
- Slightly Negative

What is the overall sentiment of that product review?

Answer:",3,3,Negative,3,Slightly Negative,Slightly Positive,NO MATCH,3,Slightly Negative,Slightly Negative,NO MATCH,NO MATCH,NO MATCH,XXX,,Slightly Negative,1,,,Slightly Negative,Slightly Negative,Slightly Negative,,Slightly Negative,Slightly Negative,NO MATCH,NO MATCH,Slightly Negative,Slightly Negative,Slightly Negative,Slightly Negative
47,"Here is a product review from a customer, which is delimited with triple backticks.

Review text: 
```
awesome
```
Overall sentiment must be one of the following options:
- Positive
- Slightly Positive
- Negative
- Slightly Negative

What is the overall sentiment of that product review?

Answer:",5,5,Positive,5,Positive,Slightly Positive,NO MATCH,5,Positive,Positive,OK,NO MATCH,NO MATCH,Positive,,,,,,Positive,REMOVE,Positive,,,,NO MATCH,NO MATCH,Positive,Positive,,REMOVE
48,"Here is a product review from a customer, which is delimited with triple backticks.

Review text: 
```
Awesome product, fits well on my mac. Would definitely recommend.
```
Overall sentiment must be one of the following options:
- Positive
- Slightly Positive
- Negative
- Slightly Negative

What is the overall sentiment of that product review?

Answer:",5,5,Positive,5,Positive,Slightly Positive,NO MATCH,5,Positive,Positive,OK,NO MATCH,NO MATCH,Positive,,,,,,Positive,REMOVE,Positive,,,,NO MATCH,NO MATCH,Positive,Positive,,REMOVE
